round,id_dt_ib,iso,name_dt_round,names
cen1951,99900002,AN,andamannicobarislands,andamannicobarislands
cen1951,99900022,AR,aborhills,"siang,aborhills"
cen1951,99900023,AR,baliparafrontiertract,"kameng,baliparafrontiertract"
cen1951,99900025,AR,mishmihills,"lohit,mishmihills"
cen1951,99900027,AR,tirapfrontiertract,"tirap,tirapfrontiertract"
cen1951,0282,AS,cachar,cachar
cen1951,0283,AS,darrang,darrang
cen1951,0287,AS,goalpara,goalpara
cen1951,0291,AS,kamrup,kamrup
cen1951,0295,AS,lakhimpur,lakhimpur
cen1951,99900029,AS,garohills,"garohills,meghalayagarohills"
cen1951,99900031,AS,lushaihills,"lushaihills,looshaihills"
cen1951,99900036,AS,nowgong,nowgong
cen1951,99900037,AS,sibsagar,sibsagar
cen1951,99900038,AS,unitedkhasijaintiahills,unitedkhasijaintiahills
cen1951,99900039,AS,unitedmikirnorthcacharhills,"unitedmikirnorthcachar,unitedmikirnorthcacharhills,unitedmikirandnorthcacharhill"
cen1951,0192,BR,bhagalpur,bhagalpur
cen1951,0195,BR,darbhanga,darbhanga
cen1951,0196,BR,gaya,gaya
cen1951,0208,BR,muzaffarpur,muzaffarpur
cen1951,0212,BR,patna,patna
cen1951,0216,BR,saharsa,saharsa
cen1951,0218,BR,saran,saran
cen1951,99900040,BR,champaran,champaran
cen1951,99900042,BR,dhanbad,dhanbad
cen1951,99900047,BR,hazaribag,"hazaribag,hazaribagh"
cen1951,99900051,BR,monghyr,"monghyar,monghyr,munger"
cen1951,99900052,BR,palamau,palamau
cen1951,99900057,BR,purnea,"purnia,purnea"
cen1951,99900058,BR,purulia,purulia
cen1951,99900059,BR,ranchi,ranchi
cen1951,99900063,BR,santhalparganas,"santhalparganas,santalparganas,12santalparganas,12 santal parganas"
cen1951,99900064,BR,shahabad,shahabad
cen1951,99900065,BR,singhbhum,singhbhum
cen1951,99900067,DH,dadranagarhaveli,dadranagarhaveli
cen1951,99900069,DL,delhi,delhi
cen1951,99900077,GA,daman,daman
cen1951,99900078,GA,diu,diu
cen1951,99900079,GA,goa,goa
cen1951,99900083,GJ,centralsaurashtra,"centralsaurashtra,madhyasaurashtra"
cen1951,99900085,GJ,gohilwad,gohilwad
cen1951,99900086,GJ,halar,halar
cen1951,99900089,GJ,kutch,kutch
cen1951,99900091,GJ,sorath,sorath
cen1951,99900093,GJ,zalawad,zalawad
cen1951,0015,HP,bilaspur,bilaspur
cen1951,0016,HP,chamba,"champa,chamba"
cen1951,0022,HP,mandi,mandi
cen1951,99900096,HP,mahasu,mahasu
cen1951,99900098,HP,sirmoor,"sirmur,sirmoor"
cen1951,99900109,JK,jammukashmir,jammukashmir
cen1951,0539,KA,hassan,hassan
cen1951,0542,KA,kolar,kolar
cen1951,0544,KA,mandya,mandya
cen1951,99900117,KA,bangalore,bangalore
cen1951,99900123,KA,chikmagalur,chikmagalur
cen1951,99900124,KA,chitaldurga,chitaldurga
cen1951,99900125,KA,coorg,"coorg,goorgordodagu"
cen1951,99900130,KA,mysore,mysore
cen1951,99900132,KA,shimoga,shimoga
cen1951,99900134,KA,tumkur,tumkur
cen1951,0560,KL,kottayam,kottayam
cen1951,99900140,KL,quilon,quilon
cen1951,99900141,KL,trichur,"richur,trichur"
cen1951,99900142,KL,trivandrum,trivandrum
cen1951,99900143,LD,laccadive,"laccadive,laccadiveminicoyamindiviislands"
cen1951,0478,MH,jalgaon,jalgaon
cen1951,0480,MH,kolhapur,kolhapur
cen1951,0492,MH,ratnagiri,ratnagiri
cen1951,0493,MH,sangli,sangli
cen1951,99900145,MH,ahmadnagar,"ahmednagar,ahmadnagar"
cen1951,99900146,MH,ahmedabad,ahmedabad
cen1951,99900147,MH,amreli,amreli
cen1951,99900148,MH,banaskantha,banaskantha
cen1951,99900149,MH,baroda,baroda
cen1951,99900150,MH,belgaum,"belgaon,belgaum"
cen1951,99900153,MH,bijapur,"bijapur,bijpura"
cen1951,99900154,MH,broach,broach
cen1951,99900156,MH,dangs,dangs
cen1951,99900157,MH,dharwar,"dharwad,dharwar"
cen1951,99900158,MH,dhulia,dhulia
cen1951,99900159,MH,eastkhandesh,eastkhandesh
cen1951,99900161,MH,greaterbombay,greaterbombay
cen1951,99900162,MH,kaira,kaira
cen1951,99900163,MH,kanara,kanara
cen1951,99900164,MH,kolaba,kolaba
cen1951,99900165,MH,mehsana,mehsana
cen1951,99900166,MH,nasik,nasik
cen1951,99900167,MH,panchmahals,panchmahals
cen1951,99900168,MH,poona,poona
cen1951,99900170,MH,sabarkantha,sabarkantha
cen1951,99900171,MH,sataranorth,"sataranorth,northsatara"
cen1951,99900172,MH,satarasouth,satarasouth
cen1951,99900173,MH,sholapur,sholapur
cen1951,99900174,MH,surat,surat
cen1951,99900175,MH,thana,thana
cen1951,99900176,MH,westkhandesh,westkhandesh
cen1951,99900182,MN,manipur,manipur
cen1951,0392,MP,balaghat,balaghat
cen1951,0394,MP,betul,betul
cen1951,0395,MP,bhind,bhind
cen1951,0398,MP,chhatarpur,"chhatarpur,chhtarpur"
cen1951,0399,MP,chhindwara,chhindwara
cen1951,0401,MP,datia,datia
cen1951,0402,MP,dewas,dewas
cen1951,0403,MP,dhar,dhar
cen1951,0410,MP,indore,indore
cen1951,0411,MP,jabalpur,jabalpur
cen1951,0412,MP,jhabua,jhabua
cen1951,0415,MP,mandla,mandla
cen1951,0416,MP,mandsaur,mandsaur
cen1951,0417,MP,morena,morena
cen1951,0420,MP,panna,panna
cen1951,0421,MP,raisen,raisen
cen1951,0422,MP,rajgarh,rajgarh
cen1951,0423,MP,ratlam,ratlam
cen1951,0424,MP,rewa,rewa
cen1951,0425,MP,sagar,sagar
cen1951,0426,MP,satna,satna
cen1951,0427,MP,sehore,sehore
cen1951,0429,MP,shahdol,shahdol
cen1951,0430,MP,shajapur,shajapur
cen1951,0432,MP,shivpuri,shivpuri
cen1951,0433,MP,sidhi,sidhi
cen1951,0434,MP,tikamgarh,tikamgarh
cen1951,0435,MP,ujjain,ujjain
cen1951,99900188,MP,akola,akola
cen1951,99900189,MP,amravati,amravati
cen1951,99900190,MP,bastar,bastar
cen1951,99900191,MP,bhandara,bhandara
cen1951,99900192,MP,bhilsa,"bhilsa,vidisha"
cen1951,99900193,MP,bilaspur,bilaspur
cen1951,99900194,MP,buldhana,"buldhana,buldana"
cen1951,99900195,MP,chanda,"chandrapur,chanda"
cen1951,99900196,MP,durg,durg
cen1951,99900197,MP,gird,gird
cen1951,99900198,MP,goona,"guna,goona"
cen1951,99900199,MP,hoshangabad,hoshangabad
cen1951,99900201,MP,nagpur,nagpur
cen1951,99900203,MP,nimar,"nimar,khargonenimar"
cen1951,99900203,MP,nimar,"nimar,khandwaeastnimar"
cen1951,99900204,MP,raigarh,raigarh
cen1951,99900205,MP,raipur,raipur
cen1951,99900207,MP,surguja,surguja
cen1951,99900209,MP,wardha,wardha
cen1951,99900211,MP,yeotmal,"yeotmal,yeotma"
cen1951,0249,NL,tuensang,tuensang
cen1951,99900215,NL,nagahills,"kohima,nagahills"
cen1951,0350,OR,cuttack,cuttack
cen1951,0352,OR,dhenkanal,dhenkanal
cen1951,0354,OR,ganjam,ganjam
cen1951,0358,OR,kalahandi,kalahandi
cen1951,0363,OR,koraput,koraput
cen1951,0365,OR,mayurbhanj,mayurbhanj
cen1951,0369,OR,puri,"puri,purl"
cen1951,0371,OR,sambalpur,sambalpur
cen1951,0373,OR,sundargarh,sundargarh
cen1951,99900216,OR,balasore,balasore
cen1951,99900219,OR,bolangir,bolangir
cen1951,99900221,OR,keonjhar,keonjhar
cen1951,99900224,OR,phulbani,phulbani
cen1951,0027,PB,amritsar,amritsar
cen1951,0030,PB,fatehgarhsahib,fatehgarhsahib
cen1951,0031,PB,ferozepur,"ferozepur,ferozepore"
cen1951,0032,PB,gurdaspur,gurdaspur
cen1951,0033,PB,hoshiarpur,hoshiarpur
cen1951,0035,PB,kapurthala,kapurthala
cen1951,0036,PB,ludhiana,ludhiana
cen1951,0041,PB,patiala,patiala
cen1951,0043,PB,sangrur,sangrur
cen1951,0605,PB,barnala,barnala
cen1951,99900226,PB,ambala,ambala
cen1951,99900227,PB,bhatinda,bhatinda
cen1951,99900229,PB,gurgaon,gurgaon
cen1951,99900230,PB,hissar,hissar
cen1951,99900231,PB,jullundur,jullundur
cen1951,99900232,PB,kangra,"kangara,kangra"
cen1951,99900233,PB,karnal,karnal
cen1951,99900234,PB,kohistan,kohistan
cen1951,99900237,PB,mohindergarh,"mahendragarh,mohindergarh"
cen1951,99900239,PB,rohtak,rohtak
cen1951,99900242,PB,simla,simla
cen1951,0598,PY,karaikal,karaikal
cen1951,0599,PY,mahe,mahe
cen1951,0600,PY,pondicherry,pondicherry
cen1951,0601,PY,yanam,yanam
cen1951,0086,RJ,ajmer,ajmer
