id_st_ib,name_st_ib,iso,names,from_year,to_year,id_st_cen2001,id_st_cen2011,id_st_lgd
01,jammukashmir,JK,"jammu,jammuandkashmir,jammukashmir,jk,jmjammukashmir,ladakh",1951,9999,01,01,01
02,himachalpradesh,HP,"bilaspur,himachal,himachalpradesh,hp,hphimachalpradesh",1951,9999,02,02,02
03,punjab,PB,"panjab,pb,pjpunjab,punjab,simla",1951,9999,03,03,03
04,chandigarh,CH,"chandigarh,sahibzadaajitsinghnagar",1971,9999,04,04,04
05,uttarakhand,UT,"uk,ut,uttarakhand,uttaranchal,uttrakhand,uttranchal",2001,9999,05,05,05
06,haryana,HR,"haryana,hr,hrharyana",1981,9999,06,06,06
07,delhi,DL,"delhi,delhincr,dl,dldelhi,nationalcapitalterritorydelhi,nct,nctdelhi,nctofdelhi,newdelhi",1951,9999,07,07,07
08,rajasthan,RJ,"rajasthan,rj,rjrajasthan",1951,9999,08,08,08
09,uttarpradesh,UP,"up,uputtarpradesh,uttarapradesh,uttarpradesh",1951,9999,09,09,09
10,bihar,BR,"bh,bhbihar,bihar,br",1951,9999,10,10,10
11,sikkim,SK,"districtsikkim,gangtok,sikkim,sk,sksikkim",1951,9999,11,11,11
12,arunachalpradesh,AR,"ar,ararunachalpradesh,arp,arunachalpradesh,arunancalpredesh,arunanchalpradesh,nefa,northeastfrontieragency",1961,9999,12,12,12
13,nagaland,NL,"nagahills,nagahillstuensangarea,nagaland,nanagaland,nl",1961,9999,13,13,13
14,manipur,MN,"mamanipur,manipur,mn,mnp",1951,9999,14,14,14
15,mizoram,MZ,"mizohills,mizoram,mz",1971,9999,15,15,15
16,tripura,TR,"agartala,tp,tr,tripura,trtripura",1951,9999,16,16,16
17,meghalaya,ML,"meghalay,meghalaya,mgh,shillong",1971,9999,17,17,17
18,assam,AS,"as,asassam,assam",1951,9999,18,18,18
19,westbengal,WB,"wb,wbwestbengal,westbengal",1951,9999,19,19,19
20,jharkhand,JH,"jh,jharkhand",2001,9999,20,20,20
21,odisha,OR,"odisha,or,orissa,ororissa",1951,9999,21,21,21
22,chhattisgarh,CT,"cg,chattisgarh,chhatisgarh,chhattisgarh,ct",2001,9999,22,22,22
23,madhyapradesh,MP,"madhyapradesh,madhypradesh,mp,mpmadhyapradesh",1951,9999,23,23,23
24,gujarat,GJ,"gj,gjgujarat,gujarat,gujrat,kutch,saurashtra",1961,9999,24,24,24
25,damandiu,DD,"daman,damananddiu,damandiu,diu",1991,9999,,,25
26,dadranagarhaveli,DH,"dadraandnagarhaveli,dadranagarhaveli,dnhaveli,silvassa,thedadraandnagarhavelianddamananddiu",1961,9999,,,26
27,maharashtra,MH,"maharashtra,maharastra,mh,mhmaharashtra,ms",1961,9999,27,27,27
28,andhrapradesh,AP,"andhrapradesh,ap,apandhrapradesh,telangana",1961,9999,28,28,28
29,karnataka,KA,"ka,kakarnataka,karnataka,mysore,mysuru",1951,9999,29,29,29
30,goa,GA,"goa,goadamandiu",1991,9999,30,30,30
31,lakshadweep,LD,"districtlakshadweep,kavaratti,laccadive,laccadiveminicoiamindiviislands,laccadiveminicoyamindiviislands,lakshadweep,lakshadwep,lakshdweep,ld",1961,9999,31,31,31
32,kerala,KL,"ke,kekerala,kerala,kerela,kl,travancorecochin",1951,9999,32,32,32
33,tamilnadu,TN,"madras,tamilnadu,tn,tntamilnadu",1951,9999,33,33,33
34,pondicherry,PY,"districtpuducherry,pondi,pondicherry,pondicherryfrench,puducherry,py",1961,9999,34,34,34
35,andamannicobarislands,AN,"an,andamanandnicobar,andamanandnicobarislands,andamannicobar,andamannicobarisland,andamannicobarislands,andamansnicobars,andmanandnocobarislands,anisland,anislands,portblair",1951,9999,35,35,35
36,telangana,TG,"telangana,tg,telengana",2014,9999,,,36
37,ladakh,LA,"ladakh,la",2019,9999,,,37
9990001,ajmer,RJ,"ajmer,ajmr,rajasthanajmer",1951,1951,,,
9990002,bhopal,MP,"bhopal,sehore",1951,1951,,,
9990003,bilaspur,HP,bilaspur,1951,1951,,,
9990004,bombay,MH,"bombay,greaterbombay",1951,1951,,,
9990005,coorg,KA,"coorg,goorgordodagu,kodagu",1951,1951,,,
9990006,goadamandiu,GA,"goa,goadamandiu,goadamandiuportugese",1961,1981,,,
9990007,hyderabad,TG,"hyderabad,hyderbad",1951,1951,,,
9990008,kutch,GJ,"gj,gjgujarat,gujarat,gujrat,kutch",1951,1951,,,
9990009,madhyabharat,MP,"madhyabharat,madhybharat",1951,1951,,,
9990010,patialaeastpunjabstatesunion,PB,"patiala,patialaeastpunjabstatesunion,pepsu",1951,1951,,,
9990011,saurashtra,GJ,"navanagar,rajkot,saurashtra",1951,1951,,,
9990012,vindhyapradesh,MP,"vindhyapradesh,vindhypradesh",1951,1951,,,
