year,dist,iso,names
1951,"ajmer","RJ","ajmer"
1951,"ganganagar","RJ","ganganagar"
1951,"andamannicobarislands","AN","andamannicobarislands"
1951,"goalpara","AS","goalpara"
1951,"kamrup","AS","kamrup"
1951,"darrang","AS","darrang"
1951,"lakhimpur","AS","lakhimpur"
1951,"nowgong","AS","nowgong"
1951,"sibsagar","AS","sibsagar"
1951,"cachar","AS","cachar"
1951,"garohills","AS","garohills,meghalayagarohills"
1951,"unitedkhasijaintiahills","AS","unitedkhasijaintiahills"
1951,"unitedmikirnorthcacharhills","AS","unitedmikirnorthcachar,unitedmikirnorthcacharhills,unitedmikirandnorthcacharhill"
1951,"lushaihills","AS","lushaihills,looshaihills"
1951,"patna","BR","patna"
1951,"gaya","BR","gaya"
1951,"shahabad","BR","shahabad"
1951,"saran","BR","saran"
1951,"champaran","BR","champaran"
1951,"muzaffarpur","BR","muzaffarpur"
1951,"darbhanga","BR","darbhanga"
1951,"monghyr","BR","monghyar,monghyr,munger"
1951,"bhagalpur","BR","bhagalpur"
1951,"saharsa","BR","saharsa"
1951,"purnea","BR","purnia,purnea"
1951,"santhalparganas","BR","santhalparganas,santalparganas,12santalparganas,12 santal parganas"
1951,"palamau","BR","palamau"
1951,"hazaribag","BR","hazaribag,hazaribagh"
1951,"ranchi","BR","ranchi"
1951,"dhanbad","BR","dhanbad"
1951,"purulia","BR","purulia"
1951,"singhbhum","BR","singhbhum"
1951,"bilaspur","HP","bilaspur"
1951,"raisen","MP","raisen"
1951,"sehore","MP","sehore"
1951,"amreli","MH","amreli"
1951,"banaskantha","MH","banaskantha"
1951,"mehsana","MH","mehsana"
1951,"ahmedabad","MH","ahmedabad"
1951,"sabarkantha","MH","sabarkantha"
1951,"kaira","MH","kaira"
1951,"panchmahals","MH","panchmahals"
1951,"baroda","MH","baroda"
1951,"broach","MH","broach"
1951,"westkhandesh","MH","westkhandesh"
1951,"eastkhandesh","MH","eastkhandesh"
1951,"surat","MH","surat"
1951,"dangs","MH","dangs"
1951,"nasik","MH","nasik"
1951,"thana","MH","thana"
1951,"greaterbombay","MH","greaterbombay"
1951,"kolaba","MH","kolaba"
1951,"poona","MH","poona"
1951,"ahmadnagar","MH","ahmednagar,ahmadnagar"
1951,"sholapur","MH","sholapur"
1951,"sataranorth","MH","sataranorth,northsatara"
1951,"ratnagiri","MH","ratnagiri"
1951,"kolhapur","MH","kolhapur"
1951,"satarasouth","MH","satarasouth"
1951,"bijapur","MH","bijapur,bijpura"
1951,"belgaum","MH","belgaon,belgaum"
1951,"dharwar","MH","dharwad,dharwar"
1951,"kanara","MH","kanara"
1951,"coorg","KA","coorg,goorgordodagu"
1951,"dadranagarhaveli","DN","dadranagarhaveli"
1951,"delhi","DL","delhi"
1951,"daman","DG","daman"
1951,"diu","DG","diu"
1951,"goa","DG","goa"
1951,"aurangabad","TG","aurangabad"
1951,"bhir","TG","bhir"
1951,"parbhani","TG","parbhani"
1951,"osmanabad","TG","osmanabad"
1951,"bidar","TG","bidar"
1951,"nanded","TG","nanded"
1951,"adilabad","TG","adilabad"
1951,"nizamabad","TG","nizamabad"
1951,"karimnagar","TG","karimnagar"
1951,"medak","TG","medak"
1951,"hyderabad","TG","hyderabad"
1951,"gulbarga","TG","gulbarga"
1951,"raichur","TG","raichur"
1951,"mahbubnagar","TG","mahbubnagar"
1951,"nalgonda","TG","nalgonda"
1951,"warangal","TG","warangal"
1951,"chamba","HP","champa,chamba"
1951,"mandi","HP","mandi"
1951,"mahasu","HP","mahasu"
1951,"sirmoor","HP","sirmur,sirmoor"
1951,"jammukashmir","JK","jammukashmir"
1951,"kutch","GJ","kutch"
1951,"trichur","KL","richur,trichur"
1951,"kottayam","KL","kottayam"
1951,"quilon","KL","quilon"
1951,"trivandrum","KL","trivandrum"
1951,"laccadive","LD","laccadive,laccadiveminicoyamindiviislands"
1951,"sagar","MP","sagar"
1951,"jabalpur","MP","jabalpur"
1951,"mandla","MP","mandla"
1951,"bilaspur","MP","bilaspur"
1951,"surguja","MP","surguja"
1951,"raigarh","MP","raigarh"
1951,"raipur","MP","raipur"
1951,"durg","MP","durg"
1951,"balaghat","MP","balaghat"
1951,"chhindwara","MP","chhindwara"
1951,"hoshangabad","MP","hoshangabad"
1951,"nimar","MP","nimar,khargonenimar"
1951,"betul","MP","betul"
1951,"nagpur","MP","nagpur"
1951,"bhandara","MP","bhandara"
1951,"bastar","MP","bastar"
1951,"chanda","MP","chandrapur,chanda"
1951,"wardha","MP","wardha"
1951,"yeotmal","MP","yeotmal,yeotma"
1951,"akola","MP","akola"
1951,"amravati","MP","amravati"
1951,"buldhana","MP","buldhana,buldana"
1951,"morena","MP","morena"
1951,"bhind","MP","bhind"
1951,"gird","MP","gird"
1951,"shivpuri","MP","shivpuri"
1951,"goona","MP","guna,goona"
1951,"rajgarh","MP","rajgarh"
1951,"shajapur","MP","shajapur"
1951,"ujjain","MP","ujjain"
1951,"mandsaur","MP","mandsaur"
1951,"ratlam","MP","ratlam"
1951,"jhabua","MP","jhabua"
1951,"dhar","MP","dhar"
1951,"nimar","MP","nimar,khandwaeastnimar"
1951,"indore","MP","indore"
1951,"dewas","MP","dewas"
1951,"bhilsa","MP","bhilsa,vidisha"
1951,"datia","MP","datia"
1951,"tikamgarh","MP","tikamgarh"
1951,"chhatarpur","MP","chhatarpur,chhtarpur"
1951,"panna","MP","panna"
1951,"satna","MP","satna"
1951,"rewa","MP","rewa"
1951,"sidhi","MP","sidhi"
1951,"shahdol","MP","shahdol"
1951,"srikakulam","TN","srikakulam"
1951,"vizagapatanam","TN","visakhapatnam,vizagapatanam"
1951,"eastgodavari","TN","eastgodavari"
1951,"westgodavari","TN","westgodavari"
1951,"krishna","TN","krishna"
1951,"guntur","TN","guntur"
1951,"nellore","TN","nellore,nellohe"
1951,"chittoor","TN","chittoor"
1951,"cuddapah","TN","cuddapah"
1951,"anantapur","TN","anantapur"
1951,"kurnool","TN","kurnool,anantapurandkurnool"
1951,"bellary","TN","bellary"
