id_st_cen2001,names
01,"jammukashmir,jmjammukashmir,jammu,jk,jammuandkashmir,ladakh"
02,"himachalpradesh,hphimachalpradesh,himachal,hp"
03,"punjab,pjpunjab,panjab,pb"
04,"chandigarh,sahibzadaajitsinghnagar"
05,"uttarakhand,ut,uttaranchal,uttrakhand,uk,uttranchal"
06,"haryana,hrharyana,hr"
07,"delhi,delhincr,dldelhi,newdelhi,nationalcapitalterritorydelhi,nctdelhi,nct,dl,nctofdelhi"
08,"rajasthan,rjrajasthan,rj"
09,"uttarpradesh,uputtarpradesh,uttarapradesh,up"
10,"bihar,bhbihar,br,bh"
11,"sikkim,sksikkim,sk"
12,"arunachalpradesh,ararunachalpradesh,arunanchalpradesh,ar,arunancalpredesh,arp"
13,"nagaland,nanagaland,nl"
14,"manipur,mamanipur,mn,mnp"
15,"mizoram,mizohills,mz"
16,"tripura,trtripura,tr,tp"
17,"meghalaya,shillong,meghalay,mgh"
18,"assam,asassam,as"
19,"westbengal,wbwestbengal,wb"
20,"jharkhand,jh"
21,"odisha,orissa,ororissa,or"
22,"chhattisgarh,ct,chhatisgarh,cg,chattisgarh"
23,"madhyapradesh,madhypradesh,mpmadhyapradesh,mp"
24,"gujarat,gjgujarat,gujrat,gj,kutch,saurashtra"
25,"damandiu,daman,diu"
26,"dadranagarhaveli,dnhaveli,thedadraandnagarhavelianddamananddiu"
27,"maharashtra,mhmaharashtra,mh,ms"
28,"andhrapradesh,apandhrapradesh,ap,telangana"
29,"karnataka,kakarnataka,ka,mysore"
30,"goa,northgoa"
31,"lakshadweep,lakshadwep,ld"
32,"kerala,kekerala,kerela,kl,travancorecochin,ke"
33,"tamilnadu,tntamilnadu,tn,madras"
34,"puducherry,pondicherry,pondi,py,pondicherryfrench"
35,"andamannicobarislands,andamannicobarisland,anislands,andamannicobar,an,andamansnicobars,andamanandnicobar,andmanandnocobarislands,andamanandnicobarislands,andamansnicobars"
