round,id_st_ib,name_st_round,names
cen1951,01,jammukashmir,"jammukashmir,jmjammukashmir,jammu,jk"
cen1951,02,himachalpradesh,"himachalpradesh,hphimachalpradesh,himachal,hp"
cen1951,03,punjab,"punjab,pjpunjab,panjab,pb,simla"
cen1951,07,delhi,"delhincr,delhi,dldelhi,newdelhi,nationalcapitalterritorydelhi,nctdelhi,nct,dl"
cen1951,08,rajasthan,"rajasthan,rjrajasthan,rj"
cen1951,09,uttarpradesh,"uttarpradesh,uputtarpradesh,uttarapradesh,up"
cen1951,10,bihar,"bihar,bhbihar,br"
cen1951,11,sikkim,"sikkim,sksikkim,sk"
cen1951,14,manipur,"manipur,mamanipur,mn"
cen1951,16,tripura,"tripura,trtripura,tr"
cen1951,18,assam,"assam,asassam,as"
cen1951,19,westbengal,"westbengal,wbwestbengal,wb"
cen1951,21,orissa,"orissa,ororissa,or"
cen1951,23,madhyapradesh,"madhyapradesh,madhypradesh,mpmadhyapradesh,mp"
cen1951,29,mysore,"mysore,mysuru"
cen1951,32,travancorecochin,"kerala,kekerala,kerela,kl,travancorecochin"
cen1951,33,madras,"madras,tamilnadu"
cen1951,35,andamannicobarislands,"andamannicobarislands,andamannicobarisland,anislands,anisland,andamannicobar,an"
cen1951,9990001,ajmer,"ajmr,ajmer,rajasthanajmer"
cen1951,9990002,bhopal,"bhopal,sehore"
cen1951,9990003,bilaspur,bilaspur
cen1951,9990004,bombay,"bombay,greaterbombay"
cen1951,9990005,coorg,"coorg,kodagu,goorgordodagu"
cen1951,9990007,hyderabad,"hyderabad,hyderbad"
cen1951,9990008,kutch,"gujarat,gjgujarat,gujrat,gj,kutch"
cen1951,9990009,madhyabharat,"madhyabharat,madhybharat"
cen1951,9990010,patialaeastpunjabstatesunion,"patiala,patialaeastpunjabstatesunion,pepsu"
cen1951,9990011,saurashtra,"saurashtra,rajkot,navanagar"
cen1951,9990012,vindhyapradesh,"vindhyapradesh,vindhypradesh"
cen1961,01,jammukashmir,"jammukashmir,jmjammukashmir,jammu,jk"
cen1961,02,himachalpradesh,"himachalpradesh,hphimachalpradesh,himachal,hp,bilaspur"
cen1961,03,punjab,"punjab,pjpunjab,panjab,pb"
cen1961,07,delhi,"delhincr,delhi,dldelhi,newdelhi,nationalcapitalterritorydelhi,nctdelhi,nct,dl"
cen1961,08,rajasthan,"rajasthan,rjrajasthan,rj"
cen1961,09,uttarpradesh,"uttarpradesh,uputtarpradesh,uttarapradesh,up"
cen1961,10,bihar,"bihar,bhbihar,br"
cen1961,11,sikkim,"sikkim,sksikkim,sk"
cen1961,12,northeastfrontieragency,"northeastfrontieragency,nefa"
cen1961,13,nagahillstuensangarea,"nagahillstuensangarea,nagahills"
cen1961,14,manipur,"manipur,mamanipur,mn"
