year,state,names
1951,"ajmer","ajmr,ajmer,rajasthanajmer"
1951,"assam","assam,asassam,as"
1951,"bihar","bihar,bhbihar,br"
1951,"bilaspur","bilaspur"
1951,"bhopal","bhopal,sehore"
1951,"bombay","bombay,greaterbombay"
1951,"coorg","coorg,kodagu,goorgordodagu"
1951,"delhi","delhincr,delhi,dldelhi,newdelhi,nationalcapitalterritorydelhi,nctdelhi,nct,dl"
1951,"himachalpradesh","himachalpradesh,hphimachalpradesh,himachal,hp"
1951,"hyderabad","hyderabad,hyderbad"
1951,"jammukashmir","jammukashmir,jmjammukashmir,jammu,jk"
1951,"kutch","gujarat,gjgujarat,gujrat,gj,kutch"
1951,"madhyapradesh","madhyapradesh,madhypradesh,mpmadhyapradesh,mp"
1951,"madras","madras,tamilnadu"
1951,"madhyabharat","madhyabharat,madhybharat"
1951,"manipur","manipur,mamanipur,mn"
1951,"mysore","mysore,mysuru"
1951,"orissa","orissa,ororissa,or"
1951,"patialaeastpunjabstatesunion","patiala,patialaeastpunjabstatesunion,pepsu"
1951,"punjab","punjab,pjpunjab,panjab,pb,simla"
1951,"rajasthan","rajasthan,rjrajasthan,rj"
1951,"sikkim","sikkim,sksikkim,sk"
1951,"saurashtra","saurashtra,rajkot,navanagar"
1951,"travancorecochin","kerala,kekerala,kerela,kl,travancorecochin"
1951,"tripura","tripura,trtripura,tr"
1951,"uttarpradesh","uttarpradesh,uputtarpradesh,uttarapradesh,up"
1951,"vindhyapradesh","vindhyapradesh,vindhypradesh"
1951,"westbengal","westbengal,wbwestbengal,wb"
1951,"andamannicobarislands","andamannicobarislands,andamannicobarisland,anislands,anisland,andamannicobar,an"
1961,"andhrapradesh","andhrapradesh,apandhrapradesh,ap"
1961,"assam","assam,asassam,as"
1961,"bihar","bihar,bhbihar,br"
1961,"gujarat","gujarat,gjgujarat,gujrat,gj,kutch,saurashtra"
1961,"himachalpradesh","himachalpradesh,hphimachalpradesh,himachal,hp,bilaspur"
1961,"jammukashmir","jammukashmir,jmjammukashmir,jammu,jk"
1961,"kerala","kerala,kekerala,kerela,kl,travancorecochin"
1961,"madhyapradesh","madhyapradesh,madhypradesh,mpmadhyapradesh,mp"
1961,"madras","madras,tamilnadu"
1961,"maharashtra","maharashtra,mhmaharashtra,mh,ms"
1961,"manipur","manipur,mamanipur,mn"
1961,"mysore","mysore,mysuru"
1961,"nagahillstuensangarea","nagahillstuensangarea,nagahills"
1961,"orissa","orissa,ororissa,or,odisha"
1961,"punjab","punjab,pjpunjab,panjab,pb"
1961,"rajasthan","rajasthan,rjrajasthan,rj"
1961,"sikkim","sikkim,sksikkim,sk"
1961,"tripura","tripura,trtripura,tr"
1961,"uttarpradesh","uttarpradesh,uputtarpradesh,uttarapradesh,up"
1961,"westbengal","westbengal,wbwestbengal,wb"
1961,"andamannicobarislands","andamannicobarislands,andamannicobarisland,anislands,anisland,andamannicobar,an"
1961,"dadranagarhaveli","dadranagarhaveli"
1961,"delhi","delhincr,delhi,dldelhi,newdelhi,nationalcapitalterritorydelhi,nctdelhi,nct,dl"
1961,"goadamandiu","goadamandiu,goadamandiuportugese"
1961,"laccadiveminicoyamindiviislands","laccadiveminicoyamindiviislands,laccadiveminicoiamindiviislands"
1961,"northeastfrontieragency","northeastfrontieragency,nefa"
1961,"pondicherry","puducherry,pondicherry,pondi,py,pondicherryfrench"
1971,"andhrapradesh","andhrapradesh,apandhrapradesh,ap"
1971,"assam","assam,asassam,as"
1971,"bihar","bihar,bhbihar,br"
1971,"gujarat","gujarat,gjgujarat,gujrat,gj,kutch,saurashtra"
1971,"himachalpradesh","himachalpradesh,hphimachalpradesh,himachal,hp,bilaspur"
1971,"jammukashmir","jammukashmir,jmjammukashmir,jammu,jk"
1971,"kerala","kerala,kekerala,kerela,kl,travancorecochin"
1971,"madhyapradesh","madhyapradesh,madhypradesh,mpmadhyapradesh,mp"
1971,"maharashtra","maharashtra,mhmaharashtra,mh,ms"
1971,"manipur","manipur,mamanipur,mn"
1971,"meghalaya","shillong,meghalay,meghalaya"
1971,"mysore","mysore,mysuru"
1971,"nagaland","nagaland,nanagaland,nl"
1971,"orissa","orissa,ororissa,or"
1971,"punjab","punjab,pjpunjab,panjab,pb"
1971,"rajasthan","rajasthan,rjrajasthan,rj"
1971,"sikkim","sikkim,sksikkim,sk"
1971,"tamilnadu","tamilnadu,tntamilnadu,tn,madras"
1971,"tripura","tripura,trtripura,tr"
1971,"uttarpradesh","uttarpradesh,uputtarpradesh,uttarapradesh,up"
1971,"westbengal","westbengal,wbwestbengal,wb"
1971,"andamannicobarislands","andamannicobarislands,andamannicobarisland,anislands,anisland,andamannicobar,an"
1971,"arunachalpradesh","arunachalpradesh,ararunachalpradesh,arunanchalpradesh,ar"
1971,"chandigarh","chandigarh,sahibzadaajitsinghnagar"
1971,"dadranagarhaveli","dadranagarhaveli"
1971,"delhi","delhincr,delhi,dldelhi,newdelhi,nationalcapitalterritorydelhi,nctdelhi,nct,dl"
1971,"goadamandiu","goadamandiu,goadamandiuportugese,goa"
1971,"laccadiveminicoyamindiviislands","laccadiveminicoyamindiviislands,laccadiveminicoiamindiviislands"
1971,"mizoram","mizohills,mizoram"
1971,"pondicherry","puducherry,pondicherry,pondi,py,pondicherryfrench"
1981,"andhrapradesh","andhrapradesh,apandhrapradesh,ap"
1981,"assam","assam,asassam,as"
1981,"bihar","bihar,bhbihar,br"
1981,"gujarat","gujarat,gjgujarat,gujrat,gj,kutch,saurashtra"
1981,"haryana","haryana,hrharyana,hr"
1981,"himachalpradesh","himachalpradesh,hphimachalpradesh,himachal,hp,bilaspur"
1981,"jammukashmir","jammukashmir,jmjammukashmir,jammu,jk"
1981,"karnataka","karnataka,kakarnataka,ka,mysore"
1981,"kerala","kerala,kekerala,kerela,kl,travancorecochin"
1981,"madhyapradesh","madhyapradesh,madhypradesh,mpmadhyapradesh,mp"
1981,"maharashtra","maharashtra,mhmaharashtra,mh,ms"
1981,"manipur","manipur,mamanipur,mn"
1981,"meghalaya","shillong,meghalay,meghalaya"
1981,"nagaland","nagaland,nanagaland,nl"
1981,"orissa","orissa,ororissa,or"
1981,"punjab","punjab,pjpunjab,panjab,pb"
1981,"rajasthan","rajasthan,rjrajasthan,rj"
1981,"sikkim","sikkim,sksikkim,sk"
1981,"tamilnadu","tamilnadu,tntamilnadu,tn,madras"
1981,"tripura","tripura,trtripura,tr"
1981,"uttarpradesh","uttarpradesh,uputtarpradesh,uttarapradesh,up"
1981,"westbengal","westbengal,wbwestbengal,wb"
1981,"andamannicobarislands","andamannicobarislands,andamannicobarisland,anislands,anisland,andamannicobar,an"
1981,"arunachalpradesh","arunachalpradesh,ararunachalpradesh,arunanchalpradesh,ar"
1981,"chandigarh","chandigarh,sahibzadaajitsinghnagar"
1981,"dadranagarhaveli","dadranagarhaveli"
1981,"delhi","delhincr,delhi,dldelhi,newdelhi,nationalcapitalterritorydelhi,nctdelhi,nct,dl"
1981,"goadamandiu","goadamandiu,goadamandiuportugese"
1981,"lakshadweep","laccadiveminicoyamindiviislands,laccadiveminicoiamindiviislands,laccadive,lakshadweep,lakshdweep"
1981,"mizoram","mizohills,mizoram"
1981,"pondicherry","puducherry,pondicherry,pondi,py,pondicherryfrench"
1991,"andhrapradesh","andhrapradesh,apandhrapradesh,ap"
1991,"arunachalpradesh","arunachalpradesh,ararunachalpradesh,arunanchalpradesh,ar"
1991,"assam","assam,asassam,as"
1991,"bihar","bihar,bhbihar,br"
1991,"goa","goadamandiu,goa"
1991,"gujarat","gujarat,gjgujarat,gujrat,gj,kutch,saurashtra"
1991,"haryana","haryana,hrharyana,hr"
1991,"himachalpradesh","himachalpradesh,hphimachalpradesh,himachal,hp,bilaspur"
1991,"jammukashmir","jammukashmir,jmjammukashmir,jammu,jk"
1991,"karnataka","karnataka,kakarnataka,ka,mysore"
1991,"kerala","kerala,kekerala,kerela,kl,travancorecochin"
1991,"madhyapradesh","madhyapradesh,madhypradesh,mpmadhyapradesh,mp"
1991,"maharashtra","maharashtra,mhmaharashtra,mh,ms,maharastra"
1991,"manipur","manipur,mamanipur,mn"
1991,"meghalaya","shillong,meghalay,meghalaya"
1991,"mizoram","mizohills,mizoram"
1991,"nagaland","nagaland,nanagaland,nl"
1991,"orissa","orissa,ororissa,or"
1991,"punjab","punjab,pjpunjab,panjab,pb"
1991,"rajasthan","rajasthan,rjrajasthan,rj"
1991,"sikkim","sikkim,sksikkim,sk,gangtok,districtsikkim"
1991,"tamilnadu","tamilnadu,tntamilnadu,tn,madras"
1991,"tripura","tripura,trtripura,tr,agartala"
1991,"uttarpradesh","uttarpradesh,uputtarpradesh,uttarapradesh,up"
1991,"westbengal","westbengal,wbwestbengal,wb"
1991,"andamannicobarislands","andamannicobarislands,andamannicobarisland,anislands,anisland,andamannicobar,an,port blair,andamanandnicobarislands"
1991,"chandigarh","chandigarh,sahibzadaajitsinghnagar"
1991,"dadranagarhaveli","dadranagarhaveli,silvassa,dadraandnagarhaveli"
1991,"delhi","delhincr,delhi,dldelhi,newdelhi,nationalcapitalterritorydelhi,nctdelhi,nct,dl"
1991,"damandiu","daman,diu,damandiu,damananddiu"
1991,"lakshadweep","laccadiveminicoyamindiviislands,laccadiveminicoiamindiviislands,laccadive,lakshadweep,lakshdweep,kavaratti,districtlakshadweep"
1991,"pondicherry","puducherry,pondicherry,pondi,py,pondicherryfrench,districtpuducherry"
2001,"jammukashmir","jammukashmir,jmjammukashmir,jammu,jk,jammuandkashmir"
2001,"himachalpradesh","himachalpradesh,hphimachalpradesh,himachal,hp,bilaspur"
2001,"punjab","punjab,pjpunjab,panjab,pb"
2001,"chandigarh","chandigarh,sahibzadaajitsinghnagar"
2001,"uttaranchal","ut,uttaranchal,uttarakhand"
2001,"haryana","haryana,hrharyana,hr"
2001,"delhi","delhincr,delhi,dldelhi,newdelhi,nationalcapitalterritorydelhi,nctdelhi,nct,dl"
2001,"rajasthan","rajasthan,rjrajasthan,rj"
2001,"uttarpradesh","uttarpradesh,uputtarpradesh,uttarapradesh,up"
2001,"bihar","bihar,bhbihar,br"
