st_key;st_vals
jammukashmir;jammukashmir, jmjammukashmir, jammu, jk, jammuandkashmir, ladakh
himachalpradesh;himachalpradesh, hphimachalpradesh, himachal, hp, bilaspur
punjab;punjab, pjpunjab, panjab, pb
chandigarh;chandigarh, sahibzadaajitsinghnagar
uttarakhand;ut, uttaranchal,uttrakhand, uk, uttranchal
haryana;haryana, hrharyana, hr
delhi;delhincr, delhi, dldelhi, newdelhi, nationalcapitalterritorydelhi, nctdelhi, nct, dl, nctofdelhi
rajasthan;rajasthan, rjrajasthan, rj
uttarpradesh;uttarpradesh, uputtarpradesh, uttarapradesh, up
bihar;bihar, bhbihar, br, bh
sikkim;sikkim, sksikkim, sk
arunachalpradesh;arunachalpradesh, ararunachalpradesh, arunanchalpradesh, ar, arunancal predesh, arp
nagaland;nagaland, nanagaland, nl
manipur;manipur, mamanipur, mn, mnp
mizoram;mizohills,mizoram, mz
tripura;tripura, trtripura, tr, tp
meghalaya;shillong, meghalay, meghalaya, mgh
assam;assam, asassam, as
westbengal;westbengal, wbwestbengal, wb
jharkhand;jharkhand, jh
odisha;orissa, ororissa, or, odisha
chhattisgarh;chhattisgarh, ct, chhatisgarh,cg, chattisgarh
madhyapradesh;madhyapradesh, madhypradesh, mpmadhyapradesh, mp
gujarat;gujarat, gjgujarat, gujrat, gj, kutch, saurashtra
damandiu;damandiu,daman, diu
dadranagarhaveli;dadranagarhaveli, dnhaveli, thedadraandnagarhavelianddamananddiu
maharashtra;maharashtra, mhmaharashtra, mh, ms
andhrapradesh;andhrapradesh, apandhrapradesh, ap
telangana;tg, telangana
karnataka;karnataka, kakarnataka, ka, mysore
goa;goa
lakshadweep;lakshadweep, lakshadwep, ld
kerala;kerala, kekerala, kerela, kl, travancorecochin, ke
tamilnadu;tamilnadu, tntamilnadu, tn, madras
pondicherry;puducherry, pondicherry, pondi, py, pondicherryfrench
andamannicobarislands;andamannicobarislands, andamannicobarisland, anislands, andamannicobar, an, andamansnicobars, andamanandnicobar, andmanandnocobarislands, andamanandnicobarislands
