S.No.,State Code,State Name,District Code,District Name,Census 2001 Code,Census 2011 Code
,,,,,,
1,35,ANDAMAN AND NICOBAR ISLANDS,603,NICOBARS,02,638
2,35,ANDAMAN AND NICOBAR ISLANDS,632,NORTH AND MIDDLE ANDAMAN,,639
3,35,ANDAMAN AND NICOBAR ISLANDS,602,SOUTH ANDAMANS,01,640
4,28,ANDHRA PRADESH,745,Alluri Sitharama Raju,,000
5,28,ANDHRA PRADESH,744,Anakapalli,,000
6,28,ANDHRA PRADESH,502,ANANTAPUR,22,553
7,28,ANDHRA PRADESH,753,Annamayya,,000
8,28,ANDHRA PRADESH,750,Bapatla,,000
9,28,ANDHRA PRADESH,503,CHITTOOR,23,554
10,28,ANDHRA PRADESH,505,EAST GODAVARI,14,545
11,28,ANDHRA PRADESH,748,Eluru,,000
12,28,ANDHRA PRADESH,506,GUNTUR,17,548
13,28,ANDHRA PRADESH,746,Kakinada,,000
14,28,ANDHRA PRADESH,747,Konaseema,,000
15,28,ANDHRA PRADESH,510,KRISHNA,16,547
16,28,ANDHRA PRADESH,511,KURNOOL,21,552
17,28,ANDHRA PRADESH,755,Nandyal,,000
18,28,ANDHRA PRADESH,749,NTR,,000
19,28,ANDHRA PRADESH,751,Palnadu,,000
20,28,ANDHRA PRADESH,743,Parvathipuram Manyam,,000
21,28,ANDHRA PRADESH,517,PRAKASAM,18,549
22,28,ANDHRA PRADESH,515,SPSR NELLORE,19,550
23,28,ANDHRA PRADESH,519,SRIKAKULAM,11,542
24,28,ANDHRA PRADESH,754,Sri Sathya Sai,,000
25,28,ANDHRA PRADESH,752,Tirupati,,000
26,28,ANDHRA PRADESH,520,VISAKHAPATANAM,13,544
27,28,ANDHRA PRADESH,521,VIZIANAGARAM,12,543
28,28,ANDHRA PRADESH,523,WEST GODAVARI,15,546
29,28,ANDHRA PRADESH,504,Y.S.R.,20,551
30,12,ARUNACHAL PRADESH,628,ANJAW,,260
31,12,ARUNACHAL PRADESH,229,CHANGLANG,12,253
32,12,ARUNACHAL PRADESH,230,DIBANG VALLEY,10,257
33,12,ARUNACHAL PRADESH,231,EAST KAMENG,03,247
34,12,ARUNACHAL PRADESH,232,EAST SIANG,08,251
35,12,ARUNACHAL PRADESH,718,KAMLE,,000
36,12,ARUNACHAL PRADESH,677,KRA DAADI,,000
37,12,ARUNACHAL PRADESH,233,KURUNG KUMEY,14,256
38,12,ARUNACHAL PRADESH,724,LEPARADA,,000
39,12,ARUNACHAL PRADESH,234,LOHIT,11,259
40,12,ARUNACHAL PRADESH,666,LONGDING,,000
41,12,ARUNACHAL PRADESH,235,LOWER DIBANG VALLEY,15,258
42,12,ARUNACHAL PRADESH,719,LOWER SIANG,,000
43,12,ARUNACHAL PRADESH,236,LOWER SUBANSIRI,05,255
44,12,ARUNACHAL PRADESH,678,NAMSAI,,000
45,12,ARUNACHAL PRADESH,723,PAKKE KESSANG,,000
46,12,ARUNACHAL PRADESH,237,PAPUM PARE,04,248
47,12,ARUNACHAL PRADESH,725,SHI YOMI,,000
48,12,ARUNACHAL PRADESH,679,SIANG,,000
49,12,ARUNACHAL PRADESH,238,TAWANG,01,245
50,12,ARUNACHAL PRADESH,239,TIRAP,13,254
51,12,ARUNACHAL PRADESH,240,UPPER SIANG,09,252
52,12,ARUNACHAL PRADESH,241,UPPER SUBANSIRI,06,249
53,12,ARUNACHAL PRADESH,242,WEST KAMENG,02,246
54,12,ARUNACHAL PRADESH,243,WEST SIANG,07,250
55,18,ASSAM,739,BAJALI,,000
56,18,ASSAM,616,BAKSA,,324
57,18,ASSAM,280,BARPETA,05,303
58,18,ASSAM,705,Biswanath,,000
59,18,ASSAM,281,BONGAIGAON,04,319
60,18,ASSAM,282,CACHAR,21,316
61,18,ASSAM,708,CHARAIDEO,,000
62,18,ASSAM,612,CHIRANG,,320
63,18,ASSAM,283,DARRANG,08,325
